"pid","value","year","land","living","beds","address","buildings","good","style","model","grade","baths","halfbaths","heatfuel","heattype","ac","nghd","stories","saleprice","saledate","roof","bath_style","kitchen_style","long","lat","miles_to_coastline","miles_to_highway","miles_to_school","miles_to_hospital"
"10042",294500,1935,1.28,2598,4,"10 WILFORD RD Branford, CT",1,92,"Old Style","Residential","B -",3,1,"Gas","Hot Water","None","0100",2,649900,"08/25/2020","Asphalt","Modern","Above Average",-72.7996443501438,41.2608622391969,0.0753381796335963,0.0190689811779237,1.37040840132622,0.111928146645057
"10043",269300,1895,0.57,2097,5,"8 WILFORD RD Branford, CT",1,85,"Old Style","Residential","C +",2,1,"Gas","Hot Water","None","0100",2,517500,"04/03/2007","Asphalt","Average","Average",-72.7996867929645,41.2608301058779,0.0742500195101182,0.0220114570782881,1.3713560582422,0.108996233236442
"10044",206400,1935,0.4,1282,2,"6 WILFORD RD Branford, CT",1,85,"Split-Level","Residential","C +",2,0,"Gas","Hot Water","None","0100",1,0,"10/16/2015","Asphalt","Average","Below Average",-72.7997306453877,41.2607984346834,0.0731997717707985,0.0196209208068255,1.37224820728827,0.106063438597714
"10045",317600,1955,1.21,2658,4,"28 SUNSET HILL DR Branford, CT",1,78,"Colonial","Residential","B",2,1,"Oil","Hot Water","None","0080",2,0,"01/29/1999","Asphalt","Average","Average",-72.7803254448079,41.2817056125652,0.917854594625633,0.0621189448847686,0.981860189629326,1.83869822538739
"10047",207900,1957,0.14,1486,3,"50 WAVERLY RD Branford, CT",1,78,"Cape Cod","Residential","C +",1,1,"Gas","Hot Water","None","0100",1.5,0,"02/03/2004","Asphalt","Average","Average",-72.7980453431284,41.2614105254413,0.120252752187956,0.00814644687489384,1.37838331793382,0.18059784569098
"10048",203200,1940,0.3,1760,3,"76 WAVERLY PARK RD Branford, CT",1,60,"Old Style","Residential","C +",1,0,"Oil","Hot Water","None","0100",2,64500,"10/14/1982","Asphalt","Average","Average",-72.7966365265646,41.2636342824671,0.238985876034823,0.0470562979596643,1.29333001856265,0.35092695501401
"10050",175500,1943,0.18,1322,3,"66 WAVERLY PARK RD Branford, CT",1,60,"Old Style","Residential","C",2,0,"Gas","Hot Water","None","0100",2,0,"12/26/2007","Asphalt","Average","Average",-72.7966793036037,41.2634748407761,0.228842727859212,0.0443252577385988,1.30070730412859,0.339955546077255
"10052",180700,1920,0.12,1320,3,"58 WAVERLY PARK RD Branford, CT",1,70,"Colonial","Residential","C",1,1,"Gas","Hot Water","None","0100",2,0,"08/31/2001","Asphalt","Average","Average",-72.7967135252349,41.2633472874234,0.220803687567513,0.0421404329884971,1.30664858197931,0.331178416457966
"10054",159300,1935,0.21,954,1,"54 WAVERLY PARK RD Branford, CT",1,60,"Bungalow","Residential","C -",1,0,"Gas","Forced Air-Duc","None","0100",1,0,"10/22/2004","Asphalt","Average","Average",-72.7967306360505,41.263283510747,0.216811896284014,0.0410480230818939,1.30963220683718,0.326789850812641
"10055",108500,1935,0.06,528,2,"50 WAVERLY PARK RD Branford, CT",1,72,"Cottage","Residential","C -",1,0,"None/Coal/Wd","None","None","0100",1,0,"06/30/2017","Asphalt","Average","Average",-72.7967477468661,41.2632197340706,0.212839979336334,0.0399556148098285,1.31262441032798,0.322401284619756
"10059",140800,1925,0.1,764,2,"34 WAVERLY PARK RD Branford, CT",1,72,"Bungalow","Residential","C -",1,0,"Gas","Forced Air-Duc","Partial AC","0100",1,0,"02/21/2002","Asphalt",NA,"Average",-72.7969150414034,41.2626010269724,0.175636528762024,0.0294191160428125,1.34204669979722,0.279799413947806
"1006",208100,1968,0.48,1972,3,"6 ROBY CT Branford, CT",1,75,"Raised Ranch","Residential","C +",2,1,"Gas","Forced Air-Duc","Central","0075",1,0,"10/05/2009","Asphalt","Average","Average",-72.8395914912988,41.2685219651235,0.62755248910671,0.00598739446540541,1.50944520393639,0.255532010177374
"10061",142100,1930,0.09,768,3,"26 WAVERLY PARK RD Branford, CT",1,72,"Bungalow","Residential","C -",1,0,"Gas","Forced Air-Duc","None","0100",1,225000,"06/19/2006","Asphalt","Average","Average",-72.7969912791918,41.2623445174582,0.160610072084039,0.0253738177588324,1.35426438653025,0.261990502428175
"10062",214500,1935,0.14,2236,4,"22 WAVERLY PARK RD Branford, CT",1,72,"Old Style","Residential","C +",1,0,"Gas","Hot Water","None","0100",3,0,"09/01/1994","Asphalt","Average","Average",-72.7970292253094,41.2622162234416,0.153018179256054,0.0233419008845786,1.36043011714702,0.253087248132672
"10064",278400,1990,0.46,2200,4,"5 WHITEWOOD DR Branford, CT",1,87,"Colonial","Residential","B -",2,1,"Oil","Forced Air-Duc","Central","0090",2,0,"11/08/1990","Asphalt","Average","Average",-72.7516353376313,41.2843064843011,0.741094475533404,0.0838180140380384,2.39620257333045,2.11372101853562
"10070",208900,2017,0.06,1228,2,"1 BISHOP RD Branford, CT",1,99,"Colonial","Residential","C +",1,1,"Gas","Forced Air-Duc","Heat Pump","0100",2,414000,"05/04/2021","Asphalt","Average","Average",-72.796776577127,41.2628864437917,0.191401771194127,0.0314022047913281,1.33025296461925,0.300758308765138
"10071",145500,1920,0.1,788,2,"9 BISHOP RD Branford, CT",1,72,"Bungalow","Residential","C -",1,0,"Gas","Hot Air-no Duc","None","0100",1,155000,"10/16/2020","Asphalt","Average","Average",-72.7964599511378,41.2631061966792,0.201405711449667,0.0230689488301161,1.32788209009637,0.321371045248558
"10074",310800,1940,0.1,3152,4,"9 BARTHOLOMEW RD Branford, CT",1,85,"Cape Cod","Residential","B",2,0,"Gas","Hot Water","Central","0100",1.75,0,"02/16/2021","Asphalt","Modern","Above Average",-72.7961448461291,41.2634419265702,0.221241414042277,0.0182546665116595,1.31953673814072,0.34926879036861
"10076",293400,1961,1.03,2140,3,"19 SUNSET HILL DR Branford, CT",1,80,"Colonial","Residential","B",3,0,"Gas","Forced Air-Duc","Central","0080",2,345350,"03/01/2010","Asphalt","Modern","Above Average",-72.7805843613132,41.282123447188,0.946801814725082,0.0318275604666942,0.957762469056232,1.85954028643842
"10078",159000,1935,0.08,874,2,"41 WAVERLY PARK RD Branford, CT",1,78,"Old Style","Residential","C",1,2,"Gas","Forced Air-Duc","None","0100",1.5,285000,"09/09/2020","Asphalt","Average","Average",-72.7967588387151,41.2631210926666,0.206498588666229,0.0375442766511351,1.3177451011291,0.315941238434024
"10079",144500,1935,0.06,1400,2,"45 WAVERLY PARK RD Branford, CT",1,60,"Old Style","Residential","C",2,0,"Gas","Hot Water","None","0100",2,35000,"08/31/1979","Asphalt","Average","Average",-72.796742644972,41.2631832865357,0.210354567077715,0.0386326904228702,1.31480051602517,0.320210396079444
"10083",188600,1949,0.11,1243,2,"61 WAVERLY PARK RD Branford, CT",1,78,"Colonial","Residential","C",2,0,"Gas","Forced Air-Duc","None","0100",2,219000,"09/30/2020","Architectural Shing","Average","Average",-72.7966759127911,41.2634320155736,0.22593829902739,0.0428930912317728,1.30316663108735,0.337325801672284
"10084",155700,1930,0.11,887,2,"65 WAVERLY PARK RD Branford, CT",1,78,"Bungalow","Residential","C -",1,0,"Gas","Forced Air-Duc","None","0100",1,125000,"02/23/2015","Asphalt","Average","Average",-72.7966592297459,41.2634941978331,0.229877632524546,0.0439581953368015,1.3002787474719,0.341604651747449
"10086",241400,1940,0.32,1580,2,"73 WAVERLY PARK RD Branford, CT",1,78,"Colonial","Residential","C",2,0,"Oil","Hot Water","None","0100",2,0,"07/11/2012","Asphalt","Average","Average",-72.7966258636554,41.2636185623521,0.237802354247287,0.046088408235846,1.29452807171997,0.350162350347928
"10087",322500,1964,1.02,2707,4,"23 SUNSET HILL DR Branford, CT",1,80,"Colonial","Residential","B",2,1,"Electric","Electr Basebrd","Central","0080",1.75,0,"08/17/1987","Asphalt","Average","Average",-72.7804222054712,41.2818319792788,0.927323050598438,0.0529575644787688,0.973650603864738,1.84460815962698
"10088",368600,1968,1.19,2649,3,"81 WAVERLY PARK RD Branford, CT",1,100,"Colonial","Residential","B",2,0,"Oil","Forced Air-Duc","Central","0100",2,0,"12/30/2020","Asphalt","Average","Average",-72.796592497565,41.263742926871,0.245783527729144,0.0482186273961462,1.28881122418678,0.35872004685172
"10089",252900,1946,0.33,1964,3,"93 WAVERLY PARK RD Branford, CT",1,78,"Cape Cod","Residential","C +",2,0,"Oil","Forced Air-Duc","Central","0100",1.5,0,"01/18/2006","Asphalt","Average","Average",-72.7965424484293,41.2639294736494,0.257849658088955,0.0514139678265174,1.28030037131525,0.371556587646953
"1009",118100,1875,2,826,2,"49 MILL PLAIN RD Branford, CT",1,20,"Old Style","Residential","B -",1,0,"None/Coal/Wd","None","None","0060",1,0,"05/14/2020","Asphalt",NA,"Below Average",-72.7971388754563,41.2938625793825,1.29016191887876,0.00175319578301798,0.317878895934524,2.24744510489837
"10092",427900,1930,0.14,2005,3,"1 FIFTH AVE Branford, CT",1,78,"Colonial","Residential","B",2,NA,"Gas","Forced Air-Duc","Central","0120",2,725000,"08/13/2020","Asphalt","Average","Average",-72.7880992314782,41.264229622472,0.0166981355393518,0.0236286536106903,1.57124048660619,0.570445846375743
"10096",287700,1960,0.25,2136,3,"160 HOTCHKISS GROVE RD Branford, CT",1,90,"Cape Cod","Residential","B -",3,0,"Gas","Hot Water","None","0100",1.5,382068,"12/10/2004","Asphalt","Modern","Above Average",-72.7891509056842,41.2650904627209,0.0958071405122425,0.000626038761987333,1.49106528265894,0.602340808370568
"10097",324200,1964,1.16,2635,4,"29 SUNSET HILL DR Branford, CT",1,80,"Colonial","Residential","B",2,2,"Oil","Hot Water","Partial AC","0080",2,260000,"12/28/1993","Asphalt","Average","Average",-72.7801743628307,41.281397586748,0.898242882675845,0.0396132303541569,0.99803489328071,1.82248552498989
"10098",423200,2006,0.12,3031,3,"14 FIFTH AVE Branford, CT",1,91,"Colonial","Residential","B",3,1,"Gas","Hot Water","Central","0120",2,165000,"08/03/1995","Asphalt","Average","Average",-72.7882366272102,41.2643017514974,0.0254115174703969,0.0149581469582308,1.56256672459618,0.572067894105507
"101",163800,1900,0.3,1236,3,"512 LEETES ISLAND RD Branford, CT",1,78,"Old Style","Residential","C",1,0,"Electric","Electr Basebrd","Heat Pump","0080",1.5,181000,"02/09/2018","Asphalt","Average","Average",-72.7494482106684,41.2747740011881,0.47431979694572,0.00144687266503249,2.6526107440919,1.44468914410281
"10101",336800,1937,0.12,1880,3,"13 SIXTH AVE Branford, CT",1,78,"Old Style","Residential","C +",2,0,"Gas","Hot Water","None","0120",2,0,"06/12/2019","Asphalt","Average","Above Average",-72.788576627038,41.2638223476613,0.0211371888357701,0.0157265208882886,1.5709848658431,0.534574542850932
"10102",394700,1922,0.18,2801,4,"172 HOTCHKISS GROVE RD Branford, CT",1,85,"Custom","Residential","B",2,0,"Gas","Steam","None","0100",2,140000,"06/17/1992","Asphalt","Modern","Above Average",-72.7893838204664,41.2646361443092,0.0876453602661064,0.00131122257596813,1.50228783676514,0.568712724296738
"10103",344600,1900,0.13,1888,3,"14 SIXTH AVE Branford, CT",1,85,"Old Style","Residential","B",2,0,"Gas","Forced Air-Duc","Central","0120",2,250000,"05/06/2014","Asphalt","Average","Average",-72.788583514055,41.2638124739617,0.0210442646356124,0.0157475853908496,1.57117166991609,0.53380480020269
"10104",314400,1925,0.13,1541,4,"6 SIXTH AVE Branford, CT",1,72,"Old Style","Residential","C",2,0,"Oil","Hot Water","None","0120",2,385000,"09/04/2019","Asphalt","Average","Average",-72.7884998018104,41.2637929411046,0.0166940288624299,0.0202056351975032,1.57532033543412,0.534356807034342
"10105",295700,1930,0.14,2058,3,"5 SEVENTH AVE Branford, CT",1,72,"Old Style","Residential","C +",2,1,"Gas","Forced Air-Duc","None","0120",2,0,"01/18/1996","Asphalt","Average","Average",-72.7889112278268,41.2630627422323,0.0445686881716335,0.0262050529767943,1.59372896944343,0.479517948187886
"10106",315800,1910,0.14,2533,3,"9 SEVENTH AVE Branford, CT",1,72,"Old Style","Residential","C +",3,0,"Gas","Hot Water","Central","0120",2,0,"03/28/2005","Asphalt","Average","Average",-72.7892241199075,41.263137742639,0.0583070812527488,0.00947467472625495,1.57837982560741,0.477580431504874
"10108",256700,1925,0.14,1828,3,"11 SEVENTH AVE Branford, CT",1,85,"Colonial","Residential","C +",2,1,"Gas","Forced Air-Duc","Central","0100",2,0,"09/15/2017","Asphalt","Average","Average",-72.7893831906321,41.2631678371004,0.0644101039018388,0.00124056944566778,1.57097567873713,0.476088514452193
"10109",1208800,2004,0.26,4098,5,"58 SEAVIEW AVE Branford, CT",1,90,"Custom","Residential","B +",4,1,"GeoThermal","Forced Air-Duc","Central","0150",2,0,"05/07/1997","Asphalt","Average","Average",-72.7885278301003,41.2631428920734,0.0239811123742841,0.0408933145252493,1.60446798215959,0.492747016936292
"10110",990600,2014,0.13,3455,3,"66 SEAVIEW AVE Branford, CT",1,98,"Colonial","Residential","A",3,0,"GeoThermal","Forced Air-Duc","Central","0150",2,0,"10/28/2020","Asphalt","Average","Average",-72.7885197612016,41.2630595319568,0.024796294295546,0.0440754192296578,1.60870146562342,0.487659722982743
"10111",951100,2014,0.13,2947,4,"70 SEAVIEW AVE Branford, CT",1,98,"Colonial","Residential","B +",3,1,"Gas","Hydro Air","Central","0150",2,0,"09/18/2019","Asphalt","Average","Average",-72.7885158862108,41.263017875805,0.0253556827930913,0.0456584298348024,1.61081459685381,0.485114185516405
"10112",924500,1908,0.41,2474,4,"74 SEAVIEW AVE Branford, CT",1,85,"Cape Cod","Residential","B",2,0,"Gas","Hot Water","Central","0150",1.75,0,"05/02/1995","Asphalt","Average","Average",-72.7885786117615,41.2628219821233,0.0320483725633744,0.0494299026941722,1.61772915395582,0.471417985600582
"10113",880800,1925,0.32,2398,3,"90 SEAVIEW AVE Branford, CT",1,78,"Old Style","Residential","B",3,0,"Gas","Hot Water","Central","0150",1.75,1200000,"01/10/2001","Asphalt","Average","Above Average",-72.7889942628715,41.2624294160499,0.0281944679373833,0.0390176724748416,1.62111224053357,0.437790635352176
"10114",772500,1932,0.17,2010,4,"94 SEAVIEW AVE Branford, CT",1,72,"Old Style","Residential","B -",1,1,"Gas","Hot Water","None","0150",1.75,860000,"08/19/2011","Asphalt",NA,"Below Average",-72.7891338340838,41.2623581609483,0.0309724453700499,0.0332955627400363,1.61944778501148,0.430320017983932
"10115",1315900,2009,0.17,4363,3,"110 SEAVIEW AVE Branford, CT",1,92,"Custom","Residential","A",3,1,"Gas","Hydro Air","Central","0150",3,0,"08/15/2016","Asphalt","Modern","Above Average",-72.7894088577365,41.2621896524836,0.0257340679535478,0.0254169596344743,1.61769169794324,0.413826320673584
"10116",210300,1923,0.11,1684,3,"6 SEVENTH AVE Branford, CT",1,78,"Old Style","Residential","C +",2,0,"Gas","Forced Air-Duc","None","0100",2,0,"03/13/2012","Asphalt","Average","Average",-72.7888720104025,41.2630405553164,0.0428916251191618,0.0287339469221942,1.59626365488897,0.478954083161177
"10117",421400,1971,0.29,3270,4,"10 SEVENTH AVE Branford, CT",1,82,"Colonial","Residential","B -",2,1,"Gas","Hot Water","Central","0120",2,2e+05,"03/01/2001","Asphalt","Average","Average",-72.7891367825432,41.2631099128518,0.0557018436135543,0.0143775282137495,1.58299000967503,0.477686229104833
"10121",237300,1992,0.08,2025,4,"18 EIGHTH AVE Branford, CT",1,88,"Colonial","Residential","C +",2,1,"Gas","Hot Water","Central","0100",2.5,0,"06/23/1992","Asphalt","Average","Average",-72.7905127109102,41.2627378366356,0.0912102942254986,0.0354839250297819,1.55056581081182,0.424883488057445
"10123",215600,1925,0.23,1352,2,"10 EIGHTH AVE Branford, CT",1,78,"Old Style","Residential","C",1,1,"Gas","Forced Air-Duc","Central","0100",2,258000,"05/09/2003","Asphalt","Average","Average",-72.790149165586,41.2626209827814,0.0723995345977558,0.0150412734784756,1.56949075274211,0.425259855231889
"10124",192900,1949,0.11,1044,2,"211 HOTCHKISS GROVE RD Branford, CT",1,72,"Cape Cod","Residential","C",1,0,"Gas","Forced Air-Duc","None","0100",1.25,131375,"01/02/2013","Asphalt",NA,"Below Average",-72.7897917413064,41.2624172786167,0.0496276487619071,0.00035323174232173,1.59253334055595,0.420026327658714
"10125",151900,1940,0.1,853,2,"215 HOTCHKISS GROVE RD Branford, CT",1,76,"Bungalow","Residential","C -",1,0,"Gas","Forced Air-Duc","Central","0100",1,44000,"09/04/1981","Architectural Shing",NA,"Below Average",-72.7898118168661,41.2623964860727,0.0491644127383901,7.89891959249468e-05,1.59283741237958,0.418286579620372
"10126",151800,1948,0.07,874,1,"219 HOTCHKISS GROVE RD Branford, CT",1,78,"Bungalow","Residential","C",1,0,"Gas","Forced Air-Duc","Central","0100",1,315000,"08/30/2021","Asphalt","Average","Average",-72.7898318860841,41.2623757527168,0.0487642716640258,2.02939809008028e-05,1.59314069334244,0.416550700974236
"10127",466200,1965,1,3145,6,"49 SUNSET HILL DR Branford, CT",1,80,"Colonial","Residential","A",4,0,"Gas","Forced Air-Duc","Central","0080",2,408000,"11/02/2009","Architectural Shing","Average","Above Average",-72.7795322940455,41.2798976191791,0.809020333713494,0.0269635014839544,1.0759114669471,1.74154050992783
"10129",193800,1940,0.09,1478,3,"161 LIMEWOOD AVE Branford, CT",1,78,"Cape Cod","Residential","C",2,0,"Gas","Forced Air-Duc","Central","0100",1.5,340500,"01/18/2018","Asphalt","Average","Average",-72.7909097480959,41.2615675203497,0.0698521634127108,0.000521520570372836,1.5953942368501,0.34258328677175
"10130",152600,1890,0.05,857,2,"165 LIMEWOOD AVE Branford, CT",1,85,"Cape Cod","Residential","C",1,0,"Gas","Hot Water","None","0100",1.25,325000,"07/12/2021","Asphalt","Average","Average",-72.7908408788336,41.2615896568983,0.0692761358768405,0.000304270553370401,1.59672778020791,0.345447860893373
